,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
297,tuatapere,0,NZ,1593654520,72,-46.13,167.68,8.81,1.99
298,ruteng,0,ID,1593654520,56,-8.61,120.47,23.05,0.75
299,nouadhibou,75,MR,1593654520,88,20.93,-17.03,21.0,7.2
300,veisiejai,100,LT,1593654521,96,54.1,23.7,15.22,1.94
301,coihaique,90,CL,1593654521,93,-45.58,-72.07,2.0,1.0
302,kapustin yar,0,RU,1593654521,59,48.58,45.74,22.36,5.21
303,yulara,0,AU,1593654521,44,-25.24,130.99,16.0,5.1
304,moussoro,34,TD,1593654522,41,13.64,16.49,30.81,4.73
305,piacabucu,0,BR,1593654522,74,-10.41,-36.43,21.96,0.88
306,zwedru,100,LR,1593654522,91,6.07,-8.13,21.67,0.76
307,porbandar,21,IN,1593654522,76,21.64,69.61,29.72,3.68
308,kruisfontein,0,ZA,1593654523,65,-34.0,24.73,9.87,1.42
309,bati,100,ET,1593654523,46,11.18,40.02,22.48,2.16
310,mount gambier,78,AU,1593654238,81,-37.83,140.77,10.18,4.84
311,itarema,0,BR,1593654524,84,-2.92,-39.92,25.26,4.55
312,pangody,0,RU,1593654524,52,65.85,74.49,15.23,1.91
313,paracuru,0,BR,1593654524,77,-3.41,-39.03,26.67,8.49
314,khvoynaya,4,RU,1593654524,96,58.9,34.53,11.4,3.04
315,khorixas,0,NA,1593654525,35,-20.37,14.97,13.87,4.35
316,bogorodskoye,46,RU,1593654525,96,56.55,37.88,13.14,2.97
317,rosetta,40,EG,1593654525,88,31.4,30.42,23.0,2.1
318,leningradskiy,100,RU,1593654526,96,69.38,178.42,1.53,4.5
319,les cayes,13,HT,1593654526,81,18.2,-73.75,26.0,1.83
320,antalaha,90,MG,1593654526,81,-14.9,50.28,20.22,2.93
321,grindavik,40,IS,1593654526,100,63.84,-22.43,8.0,0.5
322,prince rupert,90,CA,1593654527,87,54.32,-130.32,13.0,2.1
323,norman wells,90,CA,1593654527,93,65.28,-126.83,13.0,7.2
324,ust-tsilma,98,RU,1593654527,65,65.44,52.15,14.71,3.91
325,portland,90,US,1593654466,63,45.52,-122.68,18.33,5.7
326,alekseyevsk,33,RU,1593654528,34,57.84,108.35,29.3,3.8
327,kavieng,32,PG,1593654528,67,-2.57,150.8,29.62,3.97
328,waterloo,1,CA,1593654462,68,43.47,-80.52,22.0,1.5
329,galesong,20,ID,1593654529,74,-5.32,119.37,28.0,2.1
330,mecca,69,SA,1593654529,23,21.43,39.83,29.27,2.79
331,partizanskoye,0,RU,1593654529,71,55.5,94.39,23.85,6.16
332,sao gabriel da cachoeira,98,BR,1593654529,96,-0.13,-67.09,23.11,0.98
333,arlit,0,NE,1593654530,16,18.74,7.39,31.3,3.26
334,deputatskiy,0,RU,1593654530,37,69.3,139.9,15.34,9.54
335,nouakchott,20,MR,1593654530,78,18.09,-15.98,25.0,4.6
336,wajima,75,JP,1593654531,94,37.4,136.9,21.0,5.7
337,san cristobal,98,VE,1593654531,92,7.77,-72.22,19.09,1.22
338,pafos,0,CY,1593654531,82,34.77,32.42,20.0,1.5
339,shiyan,32,CN,1593654354,67,32.65,110.78,27.16,1.47
340,halifax,94,CA,1593654311,80,44.65,-63.57,17.78,2.76
341,zhireken,0,RU,1593654532,34,52.82,117.31,27.79,1.96
342,saint-francois,90,FR,1593654532,68,46.42,3.91,20.0,1.5
343,buala,100,SB,1593654533,74,-8.14,159.59,28.71,2.48
344,shengjin,0,AL,1593654533,83,41.81,19.59,23.0,1.5
345,pemangkat,100,ID,1593654534,83,1.17,108.97,26.96,3.21
346,dekar,0,BW,1593654534,63,-21.53,21.93,7.85,3.08
347,camacha,75,PT,1593654535,73,33.08,-16.33,21.0,4.1
348,nokha,0,IN,1593654536,44,27.6,73.42,34.14,8.4
349,faya,20,SA,1593654537,35,18.39,42.45,23.0,1.74
350,beian,20,NO,1593654537,87,63.66,9.57,6.11,3.1
351,kaitangata,64,NZ,1593654537,80,-46.28,169.85,8.33,0.89
352,tessalit,0,ML,1593654537,14,20.2,1.01,29.29,0.88
353,pocos de caldas,0,BR,1593654413,98,-21.79,-46.56,8.3,1.58
354,vanimo,32,PG,1593654538,66,-2.67,141.3,29.33,2.92
355,oussouye,100,SN,1593654538,100,12.48,-16.55,26.0,1.0
356,mopipi,0,BW,1593654539,89,-21.18,24.88,8.4,3.7
357,havelock,20,US,1593654263,78,34.88,-76.9,27.22,1.5
358,jalu,0,LY,1593654539,47,29.03,21.55,23.84,4.85
359,walvis bay,0,NA,1593654540,25,-22.96,14.51,19.5,2.87
360,iralaya,100,HN,1593654540,86,15.0,-83.23,26.43,3.38
361,dublin,1,US,1593654441,39,37.7,-121.94,27.22,5.7
362,bolshoye nagatkino,40,RU,1593654541,93,54.52,47.97,16.0,4.0
363,ishinomaki,75,JP,1593654541,65,38.42,141.3,27.0,2.1
364,okhotsk,6,RU,1593654541,52,59.38,143.3,16.67,4.92
365,orje,3,NO,1593654542,81,59.48,11.66,11.11,2.1
366,ambilobe,69,MG,1593654542,86,-13.2,49.05,17.24,1.48
367,camana,83,PE,1593654542,77,-16.62,-72.71,15.34,2.26
368,benguela,0,AO,1593654543,85,-12.58,13.41,18.64,1.5
369,san isidro,90,PE,1593654327,82,-12.12,-77.05,16.0,5.7
370,ucluelet,40,CA,1593654467,72,48.93,-125.55,16.11,3.6
371,jieshi,100,CN,1593654543,80,22.81,115.83,29.43,5.59
372,nigde,0,TR,1593654503,66,37.83,34.75,11.83,2.06
373,chernyshevskiy,71,RU,1593654544,34,63.01,112.47,24.99,2.31
